Subdistrict,low_salinity_share,capacity_m3_mth,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
220103,1,130066.6182,52923.14414,52102.59955,52439.74722,9325.906264,25930.45054,0,43113.84095,43355.53941,43355.53941,43355.53941,84826.41788,68552.93992
220104,1,40399.8016,24676.283,24604.39287,24641.73797,18961.5627,23947.2893,23307.45825,28987.63352,29004.90603,29004.90603,29004.90603,34541.30105,29590.11948
220201,0.985601843,2793761.36,1431054.201,1357482.94,1399210.035,944730.7712,1341946.581,1342332.305,1796811.569,1812733.652,1812733.652,1812733.652,2120084.395,1754877.374
220202,0.986568266,4892669.251,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217,4826952.217
220203,0.822391072,2287644.82,1305054.517,1206284.954,1255334.948,1020086.92,1141220.203,1101015.237,1336263.265,1361123.05,1361123.05,1361123.05,1398838.394,1327431.945
220204,1,259177.8185,32221.33798,13147.83256,23795.44625,11076.18227,108658.0379,208381.189,221100.453,225313.3989,225313.3989,225313.3989,199887.4266,110736.6903
220205,0.956268222,436053.8313,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218,416984.4218
220301,0.844642857,2129867.276,1253943.315,1127669.171,1197428.134,1037323.35,1166650.82,1233890.059,1393994.843,1422252.433,1422252.433,1422252.433,1329820.935,1257014.758
220302,0.991417361,1037122.655,676555.0115,608651.0228,646374.9301,510049.8499,583768.5128,573976.0436,710301.1238,725391.1645,725391.1645,725391.1645,725919.8856,682387.3633
220303,1,504237.6611,240605.9874,237450.9138,239256.7113,226941.6594,351022.4335,465268.5911,477583.6431,478258.2811,478258.2811,478258.2811,484263.6421,361600.0716
220304,0.857206208,625030.7355,401845.0411,385303.5189,394765.5833,341019.4244,372843.1767,363922.5635,417668.7224,421208.4513,421208.4513,421208.4513,441871.8001,417128.4303
220401,0,45926.25948,0,0,0,0,0,0,0,0,0,0,0,0
230101,0.935810811,206437.2758,131204.3487,127736.6588,128802.6504,80731.0036,85952.27811,45368.74663,93440.3934,94641.24258,94641.24258,94641.24258,135772.0575,132948.8348
230102,0.966870096,23480.72999,16384.83564,16233.902,16308.10105,10883.23485,11254.32493,6313.115167,11737.98136,11776.34866,11776.34866,11776.34866,16899.34757,16604.99208
230103,1,89060.17872,72972.5645,72808.79839,72889.32378,57378.72554,57585.35047,42403.52292,57914.12116,57955.74152,57955.74152,57955.74152,73138.80028,73015.41118
240101,0,40485.5496,0,0,0,0,0,0,0,0,0,0,0,0
240102,0,8631.764566,0,0,0,0,0,0,0,0,0,0,0,0
240103,0,5617.4151,0,0,0,0,0,0,0,0,0,0,0,0
240201,0,22760.99394,0,0,0,0,0,0,0,0,0,0,0,0
310101,0.77675841,398465.6421,149204.313,138523.3482,139514.9036,128220.9288,197387.0717,261095.4999,272389.4747,277234.1794,277234.1794,277234.1794,267167.1455,207698.325
310201,1,3692391.355,3632799.293,3631769.764,3631998.525,3604674.616,3620293.928,3609218.476,3636542.385,3636942.769,3636942.769,3636942.769,3662207.62,3647389.076
310202,1,105849.7573,53948.90955,53935.28777,53860.51778,52352.31122,77541.82096,101192.55,102700.7566,102744.9525,102744.9525,102744.9525,104225.9155,79129.72474
310301,0.897277228,117784.7717,31929.11039,31654.35703,31772.84276,28384.26826,63430.84581,95285.46841,98674.04292,98752.17674,98752.17674,98752.17674,101591.2709,66708.89598
310302,0.897277228,26036.71165,7731.796888,7503.295557,7554.124486,6749.207179,14047.67364,20680.88792,21485.80523,21574.64143,21574.64143,21574.64143,21922.55607,14801.76202
310401,0.897277228,0,0,0,0,0,0,0,0,0,0,0,0,0
310402,0.897277228,0,0,0,0,0,0,0,0,0,0,0,0,0
310501,0.897277228,33248.23323,21792.18354,21405.50991,21491.40952,17176.12904,18845.50148,16435.88007,20751.16055,20901.54756,20901.54756,20901.54756,24443.48078,23074.88235
310601,0.897277228,90828.08547,50766.63105,50748.53896,50756.33425,40999.33561,51477.4611,52211.53163,61968.53026,61973.67866,61973.67866,61973.67866,71694.49313,61226.66445
310701,0.96969697,71882.43843,16353.76446,14453.47429,15176.07324,8082.748748,30261.15055,46657.67242,53750.99691,54339.84252,54339.84252,54339.84252,57632.71345,36633.57246
320101,1,319443.4274,164634.0434,160111.7952,160439.0745,148967.4444,218375.1972,278736.0836,290207.7138,292305.1982,292305.1982,292305.1982,294741.6794,229985.4138
320201,1,82963.97072,43646.34025,43632.78291,43631.55058,40530.54999,58632.08626,73638.78444,76739.78504,76747.17987,76747.17987,76747.17987,79821.06578,61734.31918
320301,1,84625.26769,49522.30858,49516.55828,49515.33128,45468.87108,60994.24539,72475.42115,76521.88135,76525.36999,76525.36999,76525.36999,80560.32957,65042.17696
330101,1,167071.6639,68478.04087,63615.34168,55682.02339,15444.33961,42190.95964,27164.58635,67402.27013,73800.27887,73800.27887,73800.27887,104311.2686,90352.65177
330102,1,697574.9121,408179.5183,403449.9222,390390.1996,351311.936,474105.7031,553656.1433,592734.4069,601629.0662,601629.0662,601629.0662,631248.2691,526245.7574
330103,0.450413223,2070550.22,369725.1278,253088.8079,39076.61468,0,203582.5679,319400.5844,358477.1991,523801.4557,523801.4557,523801.4557,330015.5567,457671.8287
330104,0.714714715,1568940.581,999394.7992,999013.2453,998242.2092,985756.6864,1040298.208,1082159.467,1094644.989,1095221.285,1095221.285,1095221.285,1106943.774,1053563.688
330105,1,642669.6092,364263.6997,360543.1251,355228.377,268387.0115,362308.9962,368592.5288,455433.8942,459951.5556,459951.5556,459951.5556,539351.8873,454466.784
330201,0.79787234,81667.96144,37553.43522,37540.5437,37514.41257,15813.72138,18760.51619,0,21700.69119,21720.20251,21720.20251,21720.20251,43395.11066,40487.33851
330301,1,523502.9234,215367.5592,213591.4516,209821.4057,174470.9338,309975.326,409132.2773,444482.7492,447255.826,447255.826,447255.826,479054.1918,349105.117
330401,1,534669.1858,59401.76176,48914.33868,24387.82167,0,220196.0896,408984.8107,433372.6323,450879.6024,450879.6024,450879.6024,454262.7075,268597.2591
340101,0,89656.54131,0,0,0,0,0,0,0,0,0,0,0,0
340102,1,229542.9253,76432.60267,26132.99461,1846.184932,0,50482.26482,112124.7439,113970.9288,151264.1377,151264.1377,151264.1377,52554.33988,76680.15092
340201,0.954887218,1038436.953,694074.0637,632749.2448,576589.25,465593.7318,528191.6183,482376.3986,593371.9168,652114.3236,652114.3236,652114.3236,640461.9244,695349.7228
340202,1,3375721.159,1054981.412,630752.4647,425586.5272,0,735462.1358,1154869.25,1580455.777,1895153.219,1895153.219,1895153.219,1472276.834,1366205.983
